OBJECTID,pnd_id,pva_straat,pva_huisnr1,pva_huisnr2,pva_busnr,pnd_district_code,pnd_district,pva_postcode,reg_entiteit,reg_aard,reg_opnamedatum,reg_status,SHAPE_Length,SHAPE_Area
75651,34794,PROVINCIESTRAAT,314,,,A,Antwerpen,2018,1ste verdieping,woning,2022/03/01 00:00:00+00,aanvraagschrapping,40.405833570554,73.9035906840993
75652,27775,BOUWMEESTERSSTRAAT,5,,,A,Antwerpen,2000,nvt,woning,2017/10/11 00:00:00+00,aanvraagschrapping,51.61554142597,114.880702598737
75653,31561,ROSIER,25,,,A,Antwerpen,2000,gezinswoning,woning,2020/07/31 00:00:00+00,opname,23.792314897969,32.4279598081528
75654,17603,ROSIER,27,,,A,Antwerpen,2000,gezinswoning,woning,2020/07/31 00:00:00+00,opname,23.792314897969,32.4279598081528
75655,33402,LANGE KIEVITSTRAAT,54,,,A,Antwerpen,2018,handelshuis,gebouw,2021/04/26 00:00:00+00,opname,102.922096524251,281.507273915748
75656,37075,KAREL GEERTSSTRAAT,1,,,T,Borgerhout,2140,gelijkvloers,gebouw,2023/11/02 00:00:00+00,opname,43.8834402963933,106.653985207542
75657,36727,SCHOENSTRAAT,20,,,T,Borgerhout,2140,volledig pand,woning,2024/01/31 00:00:00+00,opname,75.7540047927298,202.272889583417
75658,5866,EENDRACHTSTRAAT,15,,,A,Antwerpen,2060,Huis,woning,2019/12/24 00:00:00+00,opname,62.8053851721731,129.55784035093
75659,37632,AALMOEZENIERSTRAAT,34,,,A,Antwerpen,2000,volledig pand,woning,2024/10/24 00:00:00+00,aanvraagschrapping,63.043781340613,135.086986014069
75660,39634,VOSSTRAAT,9,,,T,Borgerhout,2140,woning,woning,2024/07/15 00:00:00+00,opname,95.6535671952891,251.103754481796
75661,42028,VOSSTRAAT,9,,,T,Borgerhout,2140,Gelijkvloers,gebouw,2025/03/13 00:00:00+00,opname,95.6535671952891,251.103754481796
75662,38333,BERLIJNSTRAAT,2,,,H,Hoboken,2660,volledig pand,woning,2024/10/21 00:00:00+00,opname,86.0867145405495,418.196750178478
75663,30089,SCHILDERSSTRAAT,35,,,A,Antwerpen,2000,volledig pand,woning,2025/01/15 00:00:00+00,opname,62.7983415667012,147.839569351476
75664,19073,GROTE MARKT,17,,,A,Antwerpen,2000,Handelsgelijkvloers,gebouw,2012/07/23 00:00:00+00,opname,62.2815856615146,160.319948111554
75665,19074,GROTE MARKT,17,,,A,Antwerpen,2000,Verdieping 1,woning,2012/07/23 00:00:00+00,opname,62.2815856615146,160.319948111554
75666,19075,GROTE MARKT,17,,,A,Antwerpen,2000,Verdieping 2,woning,2012/07/23 00:00:00+00,opname,62.2815856615146,160.319948111554
75667,19076,GROTE MARKT,17,,,A,Antwerpen,2000,Verdieping 3,woning,2012/07/23 00:00:00+00,opname,62.2815856615146,160.319948111554
75668,21971,FRANKRIJKLEI,14,,,A,Antwerpen,2000,3de verdieping,woning,2021/10/12 00:00:00+00,aanvraagschrapping,71.7001353712616,246.159975338859
75669,34234,FRANKRIJKLEI,14,,,A,Antwerpen,2000,gelijkvloers,gebouw,2021/10/12 00:00:00+00,opname,71.7001353712616,246.159975338859
75670,32357,LANGE NIEUWSTRAAT,10,,,A,Antwerpen,2000,gelijkvloers,gebouw,2020/07/27 00:00:00+00,opname,123.733162606616,387.145633137384
