match_status,match_score,match_reasons,vacancy_adres,vacancy_score_totaal,vacancy_prioriteit,candidate_address_text,candidate_description,candidate_omv_nummer,candidate_decision_status,candidate_decision_date,candidate_public_inquiry_start,candidate_public_inquiry_end,candidate_source,candidate_detail_url
geen_match,,,,,,Charlotta Finckstraat 2 te 2660 Hoboken (Antwerpen),"verbouwen van een gemengd gebouw naar 3 woonentiteiten en een gelijkvloerse dareca, na gedeeltelijke sloop van het gebouw (",OMV_2026026302,GOEDGEKEURD,26/06/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/31422752-12c2-44c4-889a-3fbe0fc13e92
geen_match,,,,,,Scheldelaan zonder nummer te 2040 Antwerpen,slopen van 20 technische gebouwen en bouwen van twee relaisgebouwen; een wijziging door het vervangen van een noodgenerator en diverse transformatoren en een uitbreiding met warmtepompen (,OMV_2025130095,GOEDGEKEURD,23/06/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/c8efee48-a9fc-4c8d-b69e-665e850ba47a
geen_match,,,,,,Verlatstraat 6-8 te 2000 Antwerpen,"slopen van de bestaande constructie met uitzondering van een deel van de voorgevel en 1 scheidingsmuur, en het bouwen van een meergezinswoning met 2 wooneenheden en een gelijkvloerse functie detailhandel (",OMV_2026008170,GOEDGEKEURD,19/06/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/cb60f2cf-b853-467e-b4c5-773329c04977
mogelijke_match,70,straat | postcode,"Nationalestraat 137, 2000 Antwerpen",57.4,C,"Groenplaats 44, Nationalestraat 5-5B te 2000 Antwerpen","slopen van een schoolgebouw en de nieuwbouw van een gemengd gebouw met 99 wooneenheden, 6 handelsunits en 1 reca-unit; exploiteren van warmtepompen, lozen van huishoudelijk afvalwater en een bemaling met bijstelling lozingsvoorwaarde (",OMV_2025131517,GOEDGEKEURD,05/06/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/39e67db2-42a6-45e4-831b-e49cb1f8c0d9
geen_match,,,,,,Lichtenberglaan 36 2660 te Hoboken (Antwerpen),verbouwen van een oprit (karrespoor) en slopen van een niet-vergunde garage (,OMV_2026020110,GOEDGEKEURD,05/06/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/3ca10281-b1d9-4210-8238-24f564a3f563
mogelijke_match,70,straat | postcode,"Lange Scholiersstraat 114, 2060 Antwerpen",47.5,C,Lange Scholiersstraat 71 te 2060 Antwerpen,verbouwen en uitbreiden van een eengezinswoning na het slopen van een deel van het bouwvolume (,OMV_2026019240,GOEDGEKEURD,05/06/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/92989881-7a14-47b2-bf8d-4924ca50512d
mogelijke_match,70,straat | postcode,"Louisalei 65, 2660 Hoboken",31.3,D,Louisalei 48 te 2660 Hoboken (Antwerpen),"doorvoeren van wijzigingen zonder vergunning, slopen van een fietsberging en isoleren van een blinde zijgevel van een eengezinswoning (",OMV_2026009494,GOEDGEKEURD,29/05/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/483011e1-0b0e-494c-8012-63d40b555121
mogelijke_match,70,straat | postcode,"Lakborslei 65, 2100 Deurne",62.5,B,Lakborslei zonder nummer (zn) te 2100 Deurne (Antwerpen),slopen van een bijgebouw op het Sint-Fredeganduskerkhof en wijzigen van de scheidingsmuur (,OMV_2026028826,GOEDGEKEURD,29/05/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/cc4f3a47-e533-4241-b745-62b213b488e3
mogelijke_match,70,straat | postcode,"Lakborslei 2, 2100 Deurne",58.3,C,Lakborslei zonder nummer (zn) te 2100 Deurne (Antwerpen),slopen van een bijgebouw op het Sint-Fredeganduskerkhof en wijzigen van de scheidingsmuur (,OMV_2026028826,GOEDGEKEURD,29/05/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/cc4f3a47-e533-4241-b745-62b213b488e3
mogelijke_match,70,straat | postcode,"Lakborslei 67, 2100 Deurne",57.0,C,Lakborslei zonder nummer (zn) te 2100 Deurne (Antwerpen),slopen van een bijgebouw op het Sint-Fredeganduskerkhof en wijzigen van de scheidingsmuur (,OMV_2026028826,GOEDGEKEURD,29/05/2026,,,antwerpen.consultatieomgeving.net/beslissingen,https://antwerpen.consultatieomgeving.net/burger/nl/Beslissingen/Details/cc4f3a47-e533-4241-b745-62b213b488e3
