adres,score_totaal,prioriteit,mogelijk_bevel_tot_afbraak,score_totaal_origineel,score_afbraak_boost,afstand_hemelsbreed_km,afstand_bucket,leegstand_jaren_sinds_eerste_opname,opname_count,kennisgeving_count,samengevoegde_regels,unieke_pnd_ids_count,reg_status_telling,reg_aard_telling,reg_entiteiten,pva_straat,pva_huisnr1,pva_huisnr2,pva_postcode,pnd_district,busnummers,busnummer_count,eerste_opnamedatum,laatste_opnamedatum,shape_areas,shape_lengths,score_afstand,score_ouderdom,score_deduplicaties,score_area,score_length,afbraak_match_count,afbraak_match_type,afbraak_match_reasons,afbraak_omv_nummers,afbraak_statussen,afbraak_datums,afbraak_adres_bron,afbraak_omschrijving,afbraak_bronnen,afbraak_detail_urls,geocode_quality,geocode_formatted_address,lat_wgs84,lon_wgs84,x_lambert72,y_lambert72,objectids,pnd_ids,pva_busnr,pnd_district_code,reg_statussen,reg_aarden,alle_opnamedata,verschillende_velden,afstand_origin_adres,geocode_query,geocode_strategy,geocode_status,geocode_location_type,geocode_error,score_uitleg,bronregels_volledig
"Vijfhoekstraat 33, 2600 Berchem",48.4,C,NEE,48.4,0.0,1.047,1-2 km,0.5,0,1,1,1,kennisgeving:1,woning:1,volledig pand,VIJFHOEKSTRAAT,33,,2600,Berchem,,0,2026/01/13 00:00:00+00,2026/01/13 00:00:00+00,54.6578735280949,31.4820684810765,70.5,17.4,31.5,62.8,69.4,0,,,,,,,,,,hoog,"Vijfhoekstraat 33, 2600 Antwerpen",51.19504039650129,4.4132663268387455,153111.35,209452.28,75828,51280,,R,kennisgeving,woning,2026/01/13 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Vijfhoekstraat 33, 2600 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75828,51280,VIJFHOEKSTRAAT,33,,,R,Berchem,2600,volledig pand,woning,2026/01/13 00:00:00+00,kennisgeving,31.4820684810765,54.6578735280949"
"Ijzerlaan 53, 2060 Antwerpen",48.3,C,NEE,48.3,0.0,3.966,2-5 km,4.9,1,0,1,1,opname:1,woning:1,volledig pand,IJZERLAAN,53,,2060,Antwerpen,,0,2021/08/19 00:00:00+00,2021/08/19 00:00:00+00,43.0059525573264,28.9568210836659,26.7,80.5,31.5,59.1,67.8,0,,,,,,,,,,hoog,"IJzerlaan 53, 2060 Antwerpen",51.235570576750035,4.427283948048813,154087.64,213962.13,74962,33998,,A,opname,woning,2021/08/19 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Ijzerlaan 53, 2060 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"74962,33998,IJZERLAAN,53,,,A,Antwerpen,2060,volledig pand,woning,2021/08/19 00:00:00+00,opname,28.9568210836659,43.0059525573264"
"Wenigerstraat 19, 2150 Borsbeek",48.3,C,NEE,48.3,0.0,3.713,2-5 km,2.2,1,0,1,1,opname:1,woning:1,A1,WENIGERSTRAAT,19,,2150,Borsbeek,1,1,2024/04/29 00:00:00+00,2024/04/29 00:00:00+00,433.171169712302,95.7565879550454,29.0,52.6,31.5,94.9,91.1,0,,,,,,,,,,hoog,"Wenigerstraat 19, 2150 Antwerpen",51.19783807095006,4.479070032293357,157710.82,209768.37,75198,40815,1,K,opname,woning,2024/04/29 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Wenigerstraat 19, 2150 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_aangeduidDoorBeheerder,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75198,40815,WENIGERSTRAAT,19,,1,K,Borsbeek,2150,A1,woning,2024/04/29 00:00:00+00,opname,95.7565879550454,433.171169712302"
"Jan Goovaersstraat 21, 2150 Borsbeek",48.2,C,NEE,48.2,0.0,4.580,2-5 km,3.3,1,0,1,1,opname:1,woning:1,volledig pand,JAN GOOVAERSSTRAAT,21,,2150,Borsbeek,,0,2023/03/02 00:00:00+00,2023/03/02 00:00:00+00,244.706055480081,95.5768916720492,21.7,66.8,31.5,86.0,91.1,0,,,,,,,,,,hoog,"Jan Goovaersstraat 21, 2150 Antwerpen",51.19358238488462,4.490792226936305,158530.98,209296.2,75025,40793,,K,opname,woning,2023/03/02 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Jan Goovaersstraat 21, 2150 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75025,40793,JAN GOOVAERSSTRAAT,21,,,K,Borsbeek,2150,volledig pand,woning,2023/03/02 00:00:00+00,opname,95.5768916720492,244.706055480081"
"De Robianostraat 138, 2150 Borsbeek",48.1,C,NEE,48.1,0.0,3.811,2-5 km,2.2,1,0,1,1,opname:1,woning:1,1ste verdieping rechts,DE ROBIANOSTRAAT,138,,2150,Borsbeek,,0,2024/04/09 00:00:00+00,2024/04/09 00:00:00+00,456.420406361648,89.5463292585995,28.1,53.3,31.5,95.7,89.8,0,,,,,,,,,,hoog,"de Robianostraat 138, 2150 Antwerpen",51.19488916672064,4.479983848755509,157775.19,209440.39,75345,40799,,K,opname,woning,2024/04/09 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","De Robianostraat 138, 2150 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75345,40799,DE ROBIANOSTRAAT,138,,,K,Borsbeek,2150,1ste verdieping rechts,woning,2024/04/09 00:00:00+00,opname,89.5463292585995,456.420406361648"
"Wolstraat 7, 2000 Antwerpen",48.1,C,NEE,48.1,0.0,2.928,2-5 km,1.3,1,0,1,1,opname:1,woning:1,1e verdieping vooraan,WOLSTRAAT,7,,2000,Antwerpen,2,1,2025/02/27 00:00:00+00,2025/02/27 00:00:00+00,415.466605160323,113.982196243137,37.7,38.7,31.5,94.3,94.6,0,,,,,,,,,,hoog,"Wolstraat 7, 2000 Antwerpen",51.22181499150826,4.402792858594354,152377.82,212430.67,75011,35017,2,A,opname,woning,2025/02/27 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Wolstraat 7, 2000 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75011,35017,WOLSTRAAT,7,,2,A,Antwerpen,2000,1e verdieping vooraan,woning,2025/02/27 00:00:00+00,opname,113.982196243137,415.466605160323"
"Sint-Paulusstraat 38, 2000 Antwerpen",47.9,C,NEE,47.9,0.0,3.119,2-5 km,2.7,1,0,1,1,opname:1,gebouw:1,volledig pand,SINT-PAULUSSTRAAT,38,,2000,Antwerpen,,0,2023/10/16 00:00:00+00,2023/10/16 00:00:00+00,80.473513755598,44.2442427938575,35.4,59.7,31.5,68.8,76.0,0,,,,,,,,,,hoog,"Sint-Paulusstraat 38, 2000 Antwerpen",51.223820508149025,4.40269329455345,152370.76,212653.79,75791,36844,,A,opname,gebouw,2023/10/16 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Sint-Paulusstraat 38, 2000 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75791,36844,SINT-PAULUSSTRAAT,38,,,A,Antwerpen,2000,volledig pand,gebouw,2023/10/16 00:00:00+00,opname,44.2442427938575,80.473513755598"
"Stadswaag 17, 2000 Antwerpen",47.9,C,NEE,47.9,0.0,2.955,2-5 km,2.2,1,0,1,1,opname:1,gebouw:1,gelijkvloers,STADSWAAG,17,,2000,Antwerpen,,0,2024/05/03 00:00:00+00,2024/05/03 00:00:00+00,127.417622855472,51.8816815526056,37.3,52.4,31.5,75.9,79.1,0,,,,,,,,,,hoog,"Stadswaag 17, 2000 Antwerpen",51.22367810389866,4.407111389464845,152679.42,212638.1,75343,39014,,A,opname,gebouw,2024/05/03 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Stadswaag 17, 2000 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75343,39014,STADSWAAG,17,,,A,Antwerpen,2000,gelijkvloers,gebouw,2024/05/03 00:00:00+00,opname,51.8816815526056,127.417622855472"
"Ter Heydelaan 101, 2100 Deurne",47.9,C,NEE,47.9,0.0,3.834,2-5 km,2.8,1,0,1,1,opname:1,woning:1,volledig pand,TER HEYDELAAN,101,,2100,Deurne,,0,2023/09/21 00:00:00+00,2023/09/21 00:00:00+00,175.794733961071,79.9366875741481,27.9,60.5,31.5,80.9,87.6,0,,,,,,,,,,hoog,"Ter Heydelaan 101, 2100 Antwerpen",51.22669979063933,4.460618484444662,156417.06,212977.59,75831,36762,,D,opname,woning,2023/09/21 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Ter Heydelaan 101, 2100 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75831,36762,TER HEYDELAAN,101,,,D,Deurne,2100,volledig pand,woning,2023/09/21 00:00:00+00,opname,79.9366875741481,175.794733961071"
"Sint-Augustinuslaan 1, 2610 Wilrijk",47.8,C,NEE,47.8,0.0,3.019,2-5 km,1.9,1,0,1,1,opname:1,woning:1,Huis,SINT-AUGUSTINUSLAAN,1,,2610,Wilrijk,,0,2024/07/30 00:00:00+00,2024/07/30 00:00:00+00,199.327980474897,59.5321870209934,36.6,48.8,31.5,82.8,81.8,0,,,,,,,,,,hoog,"Sint-Augustinuslaan 1, 2610 Antwerpen",51.17337380443918,4.417206656311219,153388.39,207041.98,75398,36831,,W,opname,woning,2024/07/30 00:00:00+00,,"Auwersstraat 66, 2600 Antwerpen","Sint-Augustinuslaan 1, 2610 Antwerpen",volledig_huisnummer,gevonden,basisregisters_huisnummer_afgeleidVanObject,,35% afstand + 25% ouderdom + 20% samengevoegde_regels + 12% shape_area + 8% shape_length,"75398,36831,SINT-AUGUSTINUSLAAN,1,,,W,Wilrijk,2610,Huis,woning,2024/07/30 00:00:00+00,opname,59.5321870209934,199.327980474897"
