adres,pva_straat,pva_huisnr1,pva_huisnr2,pva_busnr,pnd_district_code,pnd_district,pva_postcode,samengevoegde_regels,unieke_pnd_ids_count,objectids,pnd_ids,reg_entiteiten,reg_aarden,reg_aard_telling,reg_statussen,reg_status_telling,eerste_opnamedatum,laatste_opnamedatum,alle_opnamedata,shape_lengths,shape_areas,verschillende_velden,bronregels_volledig
"Aalmoezenierstraat 34, 2000 Antwerpen",AALMOEZENIERSTRAAT,34,,,A,Antwerpen,2000,1,1,75659,37632,volledig pand,woning,woning:1,aanvraagschrapping,aanvraagschrapping:1,2024/10/24 00:00:00+00,2024/10/24 00:00:00+00,2024/10/24 00:00:00+00,63.043781340613,135.086986014069,,"75659,37632,AALMOEZENIERSTRAAT,34,,,A,Antwerpen,2000,volledig pand,woning,2024/10/24 00:00:00+00,aanvraagschrapping,63.043781340613,135.086986014069"
"Adriaan Brouwerstraat 3 bus 101, 2000 Antwerpen",ADRIAAN BROUWERSTRAAT,3,,101,A,Antwerpen,2000,1,1,75460,37661,1e verdieping,woning,woning:1,opname,opname:1,2025/05/26 00:00:00+00,2025/05/26 00:00:00+00,2025/05/26 00:00:00+00,38.7579307245705,78.5810549102413,,"75460,37661,ADRIAAN BROUWERSTRAAT,3,,101,A,Antwerpen,2000,1e verdieping,woning,2025/05/26 00:00:00+00,opname,38.7579307245705,78.5810549102413"
"Ambtmanstraat 5, 2000 Antwerpen",AMBTMANSTRAAT,5,,,A,Antwerpen,2000,1,1,75301,26017,nvt,woning,woning:1,opname,opname:1,2016/06/13 00:00:00+00,2016/06/13 00:00:00+00,2016/06/13 00:00:00+00,44.339500119556,107.265011948104,,"75301,26017,AMBTMANSTRAAT,5,,,A,Antwerpen,2000,nvt,woning,2016/06/13 00:00:00+00,opname,44.339500119556,107.265011948104"
"Amerikalei 100 bus 502, 2000 Antwerpen",AMERIKALEI,100,,502,A,Antwerpen,2000,1,1,75464,37755,5e verdipeing links,woning,woning:1,opname,opname:1,2025/02/19 00:00:00+00,2025/02/19 00:00:00+00,2025/02/19 00:00:00+00,95.6572944141141,465.013382721318,,"75464,37755,AMERIKALEI,100,,502,A,Antwerpen,2000,5e verdipeing links,woning,2025/02/19 00:00:00+00,opname,95.6572944141141,465.013382721318"
"Amerikalei 196 bus 801, 2000 Antwerpen",AMERIKALEI,196,,801,A,Antwerpen,2000,1,1,75517,39120,8ste verdieping,woning,woning:1,opname,opname:1,2024/05/21 00:00:00+00,2024/05/21 00:00:00+00,2024/05/21 00:00:00+00,74.4129390631644,274.859391430826,,"75517,39120,AMERIKALEI,196,,801,A,Antwerpen,2000,8ste verdieping,woning,2024/05/21 00:00:00+00,opname,74.4129390631644,274.859391430826"
"Amsterdamstraat 35, 2000 Antwerpen",AMSTERDAMSTRAAT,35,,,A,Antwerpen,2000,1,1,75164,22393,gelijkvloers,gebouw,gebouw:1,opname,opname:1,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,66.2383623766439,139.267182171665,,"75164,22393,AMSTERDAMSTRAAT,35,,,A,Antwerpen,2000,gelijkvloers,gebouw,2021/08/05 00:00:00+00,opname,66.2383623766439,139.267182171665"
"Amsterdamstraat 35 bus 101, 2000 Antwerpen",AMSTERDAMSTRAAT,35,,101,A,Antwerpen,2000,1,1,75165,22394,1ste verdieping,woning,woning:1,opname,opname:1,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,66.2383623766439,139.267182171665,,"75165,22394,AMSTERDAMSTRAAT,35,,101,A,Antwerpen,2000,1ste verdieping,woning,2021/08/05 00:00:00+00,opname,66.2383623766439,139.267182171665"
"Amsterdamstraat 35 bus 201, 2000 Antwerpen",AMSTERDAMSTRAAT,35,,201,A,Antwerpen,2000,1,1,75166,22395,2de verdieping,woning,woning:1,opname,opname:1,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,66.2383623766439,139.267182171665,,"75166,22395,AMSTERDAMSTRAAT,35,,201,A,Antwerpen,2000,2de verdieping,woning,2021/08/05 00:00:00+00,opname,66.2383623766439,139.267182171665"
"Amsterdamstraat 35 bus 301, 2000 Antwerpen",AMSTERDAMSTRAAT,35,,301,A,Antwerpen,2000,1,1,75167,22396,3de verdieping,woning,woning:1,opname,opname:1,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,66.2383623766439,139.267182171665,,"75167,22396,AMSTERDAMSTRAAT,35,,301,A,Antwerpen,2000,3de verdieping,woning,2021/08/05 00:00:00+00,opname,66.2383623766439,139.267182171665"
"Amsterdamstraat 35 bus 401, 2000 Antwerpen",AMSTERDAMSTRAAT,35,,401,A,Antwerpen,2000,1,1,75168,22397,4de verdieping,woning,woning:1,opname,opname:1,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,2021/08/05 00:00:00+00,66.2383623766439,139.267182171665,,"75168,22397,AMSTERDAMSTRAAT,35,,401,A,Antwerpen,2000,4de verdieping,woning,2021/08/05 00:00:00+00,opname,66.2383623766439,139.267182171665"
"Ankerrui 44 bus 101, 2000 Antwerpen",ANKERRUI,44,,101,A,Antwerpen,2000,1,1,74916,38691,1e verdieping rechts,woning,woning:1,opname,opname:1,2025/01/17 00:00:00+00,2025/01/17 00:00:00+00,2025/01/17 00:00:00+00,71.5883454366275,297.851632492849,,"74916,38691,ANKERRUI,44,,101,A,Antwerpen,2000,1e verdieping rechts,woning,2025/01/17 00:00:00+00,opname,71.5883454366275,297.851632492849"
"August Michielsstraat 8, 2000 Antwerpen",AUGUST MICHIELSSTRAAT,8,,,A,Antwerpen,2000,1,1,75786,36031,volledig pand,gebouw,gebouw:1,opname,opname:1,2022/12/02 00:00:00+00,2022/12/02 00:00:00+00,2022/12/02 00:00:00+00,66.9082169384778,261.730690314544,,"75786,36031,AUGUST MICHIELSSTRAAT,8,,,A,Antwerpen,2000,volledig pand,gebouw,2022/12/02 00:00:00+00,opname,66.9082169384778,261.730690314544"
"Augustijnenstraat 27, 2000 Antwerpen",AUGUSTIJNENSTRAAT,27,,,A,Antwerpen,2000,1,1,75416,46909,volledig pand,woning,woning:1,opname,opname:1,2025/08/05 00:00:00+00,2025/08/05 00:00:00+00,2025/08/05 00:00:00+00,40.6757514049004,79.8673037989124,,"75416,46909,AUGUSTIJNENSTRAAT,27,,,A,Antwerpen,2000,volledig pand,woning,2025/08/05 00:00:00+00,opname,40.6757514049004,79.8673037989124"
"Begijnenstraat 44, 2000 Antwerpen",BEGIJNENSTRAAT,44,,,A,Antwerpen,2000,4,4,75585 | 75586 | 75587 | 75588,29316 | 30006 | 30007 | 30008,handelsgelijkvloers | 1ste verdiep | 2de verdiep | 3de verdiep,gebouw | woning,woning:3 | gebouw:1,opname,opname:4,2019/03/21 00:00:00+00,2019/03/21 00:00:00+00,2019/03/21 00:00:00+00,48.3225287819095,92.8614161299493,OBJECTID | pnd_id | reg_entiteit | reg_aard,"75585,29316,BEGIJNENSTRAAT,44,,,A,Antwerpen,2000,handelsgelijkvloers,gebouw,2019/03/21 00:00:00+00,opname,48.3225287819095,92.8614161299493 | 75586,30006,BEGIJNENSTRAAT,44,,,A,Antwerpen,2000,1ste verdiep,woning,2019/03/21 00:00:00+00,opname,48.3225287819095,92.8614161299493 | 75587,30007,BEGIJNENSTRAAT,44,,,A,Antwerpen,2000,2de verdiep,woning,2019/03/21 00:00:00+00,opname,48.3225287819095,92.8614161299493 | 75588,30008,BEGIJNENSTRAAT,44,,,A,Antwerpen,2000,3de verdiep,woning,2019/03/21 00:00:00+00,opname,48.3225287819095,92.8614161299493"
"Begijnenvest 53 bus 2, 2000 Antwerpen",BEGIJNENVEST,53,,2,A,Antwerpen,2000,1,1,75531,38063,Gelijkvloers rechts,woning,woning:1,aanvraagschrapping,aanvraagschrapping:1,2024/07/30 00:00:00+00,2024/07/30 00:00:00+00,2024/07/30 00:00:00+00,117.853801828836,706.451889393445,,"75531,38063,BEGIJNENVEST,53,,2,A,Antwerpen,2000,Gelijkvloers rechts,woning,2024/07/30 00:00:00+00,aanvraagschrapping,117.853801828836,706.451889393445"
"Bervoetstraat 6, 2000 Antwerpen",BERVOETSTRAAT,6,,,A,Antwerpen,2000,1,1,75212,38083,1E VERDIEPING,woning,woning:1,opname,opname:1,2025/07/29 00:00:00+00,2025/07/29 00:00:00+00,2025/07/29 00:00:00+00,41.6545076734328,89.6462216348432,,"75212,38083,BERVOETSTRAAT,6,,,A,Antwerpen,2000,1E VERDIEPING,woning,2025/07/29 00:00:00+00,opname,41.6545076734328,89.6462216348432"
"Bervoetstraat 8, 2000 Antwerpen",BERVOETSTRAAT,8,,,A,Antwerpen,2000,1,1,75350,38087,gelijkvloers,woning,woning:1,opname,opname:1,2025/01/23 00:00:00+00,2025/01/23 00:00:00+00,2025/01/23 00:00:00+00,37.1174640370866,67.4725441491362,,"75350,38087,BERVOETSTRAAT,8,,,A,Antwerpen,2000,gelijkvloers,woning,2025/01/23 00:00:00+00,opname,37.1174640370866,67.4725441491362"
"Bouwmeestersstraat 1, 2000 Antwerpen",BOUWMEESTERSSTRAAT,1,,,A,Antwerpen,2000,1,1,75377,30077,woning,woning,woning:1,opname,opname:1,2019/04/05 00:00:00+00,2019/04/05 00:00:00+00,2019/04/05 00:00:00+00,72.5340266129703,328.939877380637,,"75377,30077,BOUWMEESTERSSTRAAT,1,,,A,Antwerpen,2000,woning,woning,2019/04/05 00:00:00+00,opname,72.5340266129703,328.939877380637"
"Bouwmeestersstraat 5, 2000 Antwerpen",BOUWMEESTERSSTRAAT,5,,,A,Antwerpen,2000,1,1,75652,27775,nvt,woning,woning:1,aanvraagschrapping,aanvraagschrapping:1,2017/10/11 00:00:00+00,2017/10/11 00:00:00+00,2017/10/11 00:00:00+00,51.61554142597,114.880702598737,,"75652,27775,BOUWMEESTERSSTRAAT,5,,,A,Antwerpen,2000,nvt,woning,2017/10/11 00:00:00+00,aanvraagschrapping,51.61554142597,114.880702598737"
"Britselei 15, 2000 Antwerpen",BRITSELEI,15,,,A,Antwerpen,2000,2,2,75106 | 75107,30482 | 37448,4de verdieping | 1ste en 2de verdieping,gebouw,gebouw:2,opname,opname:2,2023/12/01 00:00:00+00,2023/12/01 00:00:00+00,2023/12/01 00:00:00+00,46.0465966395427,124.660999130016,OBJECTID | pnd_id | reg_entiteit,"75106,30482,BRITSELEI,15,,,A,Antwerpen,2000,4de verdieping,gebouw,2023/12/01 00:00:00+00,opname,46.0465966395427,124.660999130016 | 75107,37448,BRITSELEI,15,,,A,Antwerpen,2000,1ste en 2de verdieping,gebouw,2023/12/01 00:00:00+00,opname,46.0465966395427,124.660999130016"
"Britselei 44, 2000 Antwerpen",BRITSELEI,44,,,A,Antwerpen,2000,1,1,75768,31560,gezinswoning,woning,woning:1,opname,opname:1,2020/07/08 00:00:00+00,2020/07/08 00:00:00+00,2020/07/08 00:00:00+00,52.491933529223,134.778602764965,,"75768,31560,BRITSELEI,44,,,A,Antwerpen,2000,gezinswoning,woning,2020/07/08 00:00:00+00,opname,52.491933529223,134.778602764965"
"Britselei 45 bus 801, 2000 Antwerpen",BRITSELEI,45,,801,A,Antwerpen,2000,1,1,74978,38196,A8,woning,woning:1,opname,opname:1,2024/04/26 00:00:00+00,2024/04/26 00:00:00+00,2024/04/26 00:00:00+00,70.8702980045096,161.866944026262,,"74978,38196,BRITSELEI,45,,801,A,Antwerpen,2000,A8,woning,2024/04/26 00:00:00+00,opname,70.8702980045096,161.866944026262"
"Britselei 49 bus 101, 2000 Antwerpen",BRITSELEI,49,,101,A,Antwerpen,2000,1,1,75554,38198,1e verdieping,woning,woning:1,opname,opname:1,2025/01/15 00:00:00+00,2025/01/15 00:00:00+00,2025/01/15 00:00:00+00,111.902850514158,503.569664920185,,"75554,38198,BRITSELEI,49,,101,A,Antwerpen,2000,1e verdieping,woning,2025/01/15 00:00:00+00,opname,111.902850514158,503.569664920185"
"Britselei 76-401, 2000 Antwerpen",BRITSELEI,76,401,,A,Antwerpen,2000,1,1,74897,43332,duplex (4e+5e verdieping),woning,woning:1,opname,opname:1,2025/03/28 00:00:00+00,2025/03/28 00:00:00+00,2025/03/28 00:00:00+00,62.7675347067606,168.527524245808,,"74897,43332,BRITSELEI,76,401,,A,Antwerpen,2000,duplex (4e+5e verdieping),woning,2025/03/28 00:00:00+00,opname,62.7675347067606,168.527524245808"
"Cadixstraat 1, 2000 Antwerpen",CADIXSTRAAT,1,,,A,Antwerpen,2000,1,1,75018,38210,HUIS,woning,woning:1,opname,opname:1,2024/07/26 00:00:00+00,2024/07/26 00:00:00+00,2024/07/26 00:00:00+00,41.8738613942476,83.7796303786935,,"75018,38210,CADIXSTRAAT,1,,,A,Antwerpen,2000,HUIS,woning,2024/07/26 00:00:00+00,opname,41.8738613942476,83.7796303786935"
"Cockerillkaai 12-14, 2000 Antwerpen",COCKERILLKAAI,12,14,,A,Antwerpen,2000,1,1,75221,34254,gelijkvloers,gebouw,gebouw:1,opname,opname:1,2021/10/22 00:00:00+00,2021/10/22 00:00:00+00,2021/10/22 00:00:00+00,266.127887643373,3727.33240841506,,"75221,34254,COCKERILLKAAI,12,14,,A,Antwerpen,2000,gelijkvloers,gebouw,2021/10/22 00:00:00+00,opname,266.127887643373,3727.33240841506"
"Cockerillkaai 36, 2000 Antwerpen",COCKERILLKAAI,36,,,A,Antwerpen,2000,1,1,75634,38236,Huis,woning,woning:1,opname,opname:1,2025/01/17 00:00:00+00,2025/01/17 00:00:00+00,2025/01/17 00:00:00+00,38.225883280034,79.0204916713056,,"75634,38236,COCKERILLKAAI,36,,,A,Antwerpen,2000,Huis,woning,2025/01/17 00:00:00+00,opname,38.225883280034,79.0204916713056"
"Eiermarkt 19, 2000 Antwerpen",EIERMARKT,19,,,A,Antwerpen,2000,2,2,75441 | 75442,38657 | 38658,woning 1 | woning 2,woning,woning:2,opname,opname:2,2024/04/12 00:00:00+00,2024/04/12 00:00:00+00,2024/04/12 00:00:00+00,45.3206357515046,98.6517883771361,OBJECTID | pnd_id | reg_entiteit,"75441,38657,EIERMARKT,19,,,A,Antwerpen,2000,woning 1,woning,2024/04/12 00:00:00+00,opname,45.3206357515046,98.6517883771361 | 75442,38658,EIERMARKT,19,,,A,Antwerpen,2000,woning 2,woning,2024/04/12 00:00:00+00,opname,45.3206357515046,98.6517883771361"
"Falconplein 25, 2000 Antwerpen",FALCONPLEIN,25,,,A,Antwerpen,2000,4,4,75038 | 75039 | 75040 | 75041,35746 | 35748 | 35749 | 35750,gelijkvloers | 1e verdieping | 2e verdieping | 3e verdieping,gebouw | woning,woning:3 | gebouw:1,opname,opname:4,2022/09/05 00:00:00+00,2022/09/05 00:00:00+00,2022/09/05 00:00:00+00,58.5810580083298,177.141265385653,OBJECTID | pnd_id | reg_entiteit | reg_aard,"75038,35746,FALCONPLEIN,25,,,A,Antwerpen,2000,gelijkvloers,gebouw,2022/09/05 00:00:00+00,opname,58.5810580083298,177.141265385653 | 75039,35748,FALCONPLEIN,25,,,A,Antwerpen,2000,1e verdieping,woning,2022/09/05 00:00:00+00,opname,58.5810580083298,177.141265385653 | 75040,35749,FALCONPLEIN,25,,,A,Antwerpen,2000,2e verdieping,woning,2022/09/05 00:00:00+00,opname,58.5810580083298,177.141265385653 | 75041,35750,FALCONPLEIN,25,,,A,Antwerpen,2000,3e verdieping,woning,2022/09/05 00:00:00+00,opname,58.5810580083298,177.141265385653"
"Falconplein 31, 2000 Antwerpen",FALCONPLEIN,31,,,A,Antwerpen,2000,1,1,75031,26071,1ste verdieping,woning,woning:1,opname,opname:1,2016/06/28 00:00:00+00,2016/06/28 00:00:00+00,2016/06/28 00:00:00+00,65.883049235093,229.082204294698,,"75031,26071,FALCONPLEIN,31,,,A,Antwerpen,2000,1ste verdieping,woning,2016/06/28 00:00:00+00,opname,65.883049235093,229.082204294698"
"Falconplein 36, 2000 Antwerpen",FALCONPLEIN,36,,,A,Antwerpen,2000,1,1,75836,39118,gelijkvloers+tussenverdieping,gebouw,gebouw:1,opname,opname:1,2024/05/14 00:00:00+00,2024/05/14 00:00:00+00,2024/05/14 00:00:00+00,35.6229501877852,64.3930964868577,,"75836,39118,FALCONPLEIN,36,,,A,Antwerpen,2000,gelijkvloers+tussenverdieping,gebouw,2024/05/14 00:00:00+00,opname,35.6229501877852,64.3930964868577"
"Falconrui 56, 2000 Antwerpen",FALCONRUI,56,,,A,Antwerpen,2000,1,1,75324,35783,volledig pand,woning,woning:1,opname,opname:1,2022/09/07 00:00:00+00,2022/09/07 00:00:00+00,2022/09/07 00:00:00+00,20.5122007994954,25.0501091621321,,"75324,35783,FALCONRUI,56,,,A,Antwerpen,2000,volledig pand,woning,2022/09/07 00:00:00+00,opname,20.5122007994954,25.0501091621321"
"Frankrijklei 138, 2000 Antwerpen",FRANKRIJKLEI,138,,,A,Antwerpen,2000,1,1,74964,28895,handelsgelijkvloers,gebouw,gebouw:1,opname,opname:1,2019/06/13 00:00:00+00,2019/06/13 00:00:00+00,2019/06/13 00:00:00+00,67.3107666846885,190.220749395601,,"74964,28895,FRANKRIJKLEI,138,,,A,Antwerpen,2000,handelsgelijkvloers,gebouw,2019/06/13 00:00:00+00,opname,67.3107666846885,190.220749395601"
"Frankrijklei 14, 2000 Antwerpen",FRANKRIJKLEI,14,,,A,Antwerpen,2000,2,2,75668 | 75669,21971 | 34234,3de verdieping | gelijkvloers,woning | gebouw,woning:1 | gebouw:1,aanvraagschrapping | opname,aanvraagschrapping:1 | opname:1,2021/10/12 00:00:00+00,2021/10/12 00:00:00+00,2021/10/12 00:00:00+00,71.7001353712616,246.159975338859,OBJECTID | pnd_id | reg_entiteit | reg_aard | reg_status,"75668,21971,FRANKRIJKLEI,14,,,A,Antwerpen,2000,3de verdieping,woning,2021/10/12 00:00:00+00,aanvraagschrapping,71.7001353712616,246.159975338859 | 75669,34234,FRANKRIJKLEI,14,,,A,Antwerpen,2000,gelijkvloers,gebouw,2021/10/12 00:00:00+00,opname,71.7001353712616,246.159975338859"
"Frankrijklei 140, 2000 Antwerpen",FRANKRIJKLEI,140,,,A,Antwerpen,2000,1,1,75621,35619,volledig pand,woning,woning:1,opname,opname:1,2022/08/03 00:00:00+00,2022/08/03 00:00:00+00,2022/08/03 00:00:00+00,67.6478125137338,195.838063075041,,"75621,35619,FRANKRIJKLEI,140,,,A,Antwerpen,2000,volledig pand,woning,2022/08/03 00:00:00+00,opname,67.6478125137338,195.838063075041"
"Frankrijklei 29, 2000 Antwerpen",FRANKRIJKLEI,29,,,A,Antwerpen,2000,1,1,74895,52649,gelijkvloers,gebouw,gebouw:1,kennisgeving,kennisgeving:1,2026/02/02 00:00:00+00,2026/02/02 00:00:00+00,2026/02/02 00:00:00+00,100.557033546475,335.710035554225,,"74895,52649,FRANKRIJKLEI,29,,,A,Antwerpen,2000,gelijkvloers,gebouw,2026/02/02 00:00:00+00,kennisgeving,100.557033546475,335.710035554225"
"Frankrijklei 90, 2000 Antwerpen",FRANKRIJKLEI,90,,,A,Antwerpen,2000,1,1,75049,33429,volledig pand,woning,woning:1,opname,opname:1,2021/06/14 00:00:00+00,2021/06/14 00:00:00+00,2021/06/14 00:00:00+00,90.2253626679478,319.027056367974,,"75049,33429,FRANKRIJKLEI,90,,,A,Antwerpen,2000,volledig pand,woning,2021/06/14 00:00:00+00,opname,90.2253626679478,319.027056367974"
"Frankrijklei 92, 2000 Antwerpen",FRANKRIJKLEI,92,,,A,Antwerpen,2000,1,1,75313,28914,gelijkvloers gebouw,gebouw,gebouw:1,opname,opname:1,2019/06/13 00:00:00+00,2019/06/13 00:00:00+00,2019/06/13 00:00:00+00,130.085542478876,986.599465842391,,"75313,28914,FRANKRIJKLEI,92,,,A,Antwerpen,2000,gelijkvloers gebouw,gebouw,2019/06/13 00:00:00+00,opname,130.085542478876,986.599465842391"
"Gentplaats 7, 2000 Antwerpen",GENTPLAATS,7,,,A,Antwerpen,2000,1,1,75181,32281,1ste verdieping,woning,woning:1,opname,opname:1,2020/11/23 00:00:00+00,2020/11/23 00:00:00+00,2020/11/23 00:00:00+00,48.9771025184845,111.637115483885,,"75181,32281,GENTPLAATS,7,,,A,Antwerpen,2000,1ste verdieping,woning,2020/11/23 00:00:00+00,opname,48.9771025184845,111.637115483885"
"Gijzelaarsstraat 52, 2000 Antwerpen",GIJZELAARSSTRAAT,52,,,A,Antwerpen,2000,1,1,75632,27783,nvt,woning,woning:1,opname,opname:1,2018/06/18 00:00:00+00,2018/06/18 00:00:00+00,2018/06/18 00:00:00+00,72.4531535739371,178.281683361025,,"75632,27783,GIJZELAARSSTRAAT,52,,,A,Antwerpen,2000,nvt,woning,2018/06/18 00:00:00+00,opname,72.4531535739371,178.281683361025"
"Gijzelaarsstraat 66, 2000 Antwerpen",GIJZELAARSSTRAAT,66,,,A,Antwerpen,2000,1,1,75250,23220,GLV + verdieping 1+2,woning,woning:1,aanvraagschrapping,aanvraagschrapping:1,2015/04/08 00:00:00+00,2015/04/08 00:00:00+00,2015/04/08 00:00:00+00,45.5034483980897,90.0336149084261,,"75250,23220,GIJZELAARSSTRAAT,66,,,A,Antwerpen,2000,GLV + verdieping 1+2,woning,2015/04/08 00:00:00+00,aanvraagschrapping,45.5034483980897,90.0336149084261"
"Graaf Van Hoornestraat 1, 2000 Antwerpen",GRAAF VAN HOORNESTRAAT,1,,,A,Antwerpen,2000,1,1,75544,31786,"1ste, 2de en 3de verdieping",woning,woning:1,opname,opname:1,2020/03/06 00:00:00+00,2020/03/06 00:00:00+00,2020/03/06 00:00:00+00,50.1190281179501,154.437584233265,,"75544,31786,GRAAF VAN HOORNESTRAAT,1,,,A,Antwerpen,2000,1ste, 2de en 3de verdieping,woning,2020/03/06 00:00:00+00,opname,50.1190281179501,154.437584233265"
"Graaf Van Hoornestraat 7, 2000 Antwerpen",GRAAF VAN HOORNESTRAAT,7,,,A,Antwerpen,2000,3,3,75050 | 75051 | 75052,37469 | 37470 | 37472,gelijkvloers | 1ste verdieping | 4de en 5de verdieping,woning,woning:3,aanvraagschrapping | opname,aanvraagschrapping:2 | opname:1,2023/12/01 00:00:00+00,2023/12/01 00:00:00+00,2023/12/01 00:00:00+00,41.9268031302248,77.6746113581374,OBJECTID | pnd_id | reg_entiteit | reg_status,"75050,37469,GRAAF VAN HOORNESTRAAT,7,,,A,Antwerpen,2000,gelijkvloers,woning,2023/12/01 00:00:00+00,aanvraagschrapping,41.9268031302248,77.6746113581374 | 75051,37470,GRAAF VAN HOORNESTRAAT,7,,,A,Antwerpen,2000,1ste verdieping,woning,2023/12/01 00:00:00+00,aanvraagschrapping,41.9268031302248,77.6746113581374 | 75052,37472,GRAAF VAN HOORNESTRAAT,7,,,A,Antwerpen,2000,4de en 5de verdieping,woning,2023/12/01 00:00:00+00,opname,41.9268031302248,77.6746113581374"
"Grote Markt 17, 2000 Antwerpen",GROTE MARKT,17,,,A,Antwerpen,2000,4,4,75664 | 75665 | 75666 | 75667,19073 | 19074 | 19075 | 19076,Handelsgelijkvloers | Verdieping 1 | Verdieping 2 | Verdieping 3,gebouw | woning,woning:3 | gebouw:1,opname,opname:4,2012/07/23 00:00:00+00,2012/07/23 00:00:00+00,2012/07/23 00:00:00+00,62.2815856615146,160.319948111554,OBJECTID | pnd_id | reg_entiteit | reg_aard,"75664,19073,GROTE MARKT,17,,,A,Antwerpen,2000,Handelsgelijkvloers,gebouw,2012/07/23 00:00:00+00,opname,62.2815856615146,160.319948111554 | 75665,19074,GROTE MARKT,17,,,A,Antwerpen,2000,Verdieping 1,woning,2012/07/23 00:00:00+00,opname,62.2815856615146,160.319948111554 | 75666,19075,GROTE MARKT,17,,,A,Antwerpen,2000,Verdieping 2,woning,2012/07/23 00:00:00+00,opname,62.2815856615146,160.319948111554 | 75667,19076,GROTE MARKT,17,,,A,Antwerpen,2000,Verdieping 3,woning,2012/07/23 00:00:00+00,opname,62.2815856615146,160.319948111554"
"Grote Markt 31, 2000 Antwerpen",GROTE MARKT,31,,,A,Antwerpen,2000,4,4,74885 | 74886 | 74887 | 74888,21747 | 21748 | 21749 | 43383,Verdieping 1 | Verdieping 2 | Verdieping 3 | gelijkvloers,woning | gebouw,woning:3 | gebouw:1,opname,opname:4,2014/04/24 00:00:00+00,2025/06/13 00:00:00+00,2014/04/24 00:00:00+00 | 2025/06/13 00:00:00+00,77.3713058615615,236.758205358387,OBJECTID | pnd_id | reg_entiteit | reg_aard | reg_opnamedatum,"74885,21747,GROTE MARKT,31,,,A,Antwerpen,2000,Verdieping 1,woning,2014/04/24 00:00:00+00,opname,77.3713058615615,236.758205358387 | 74886,21748,GROTE MARKT,31,,,A,Antwerpen,2000,Verdieping 2,woning,2014/04/24 00:00:00+00,opname,77.3713058615615,236.758205358387 | 74887,21749,GROTE MARKT,31,,,A,Antwerpen,2000,Verdieping 3,woning,2014/04/24 00:00:00+00,opname,77.3713058615615,236.758205358387 | 74888,43383,GROTE MARKT,31,,,A,Antwerpen,2000,gelijkvloers,gebouw,2025/06/13 00:00:00+00,opname,77.3713058615615,236.758205358387"
"Grote Markt 44, 2000 Antwerpen",GROTE MARKT,44,,,A,Antwerpen,2000,4,4,75854 | 75855 | 75856 | 75857,18860 | 38048 | 38049 | 38050,gelijkvloers | woning 1 | woning 2 | woning 3,gebouw | woning,woning:3 | gebouw:1,opname,opname:4,2024/01/30 00:00:00+00,2024/01/30 00:00:00+00,2024/01/30 00:00:00+00,56.4434847486979,119.205044753776,OBJECTID | pnd_id | reg_entiteit | reg_aard,"75854,18860,GROTE MARKT,44,,,A,Antwerpen,2000,gelijkvloers,gebouw,2024/01/30 00:00:00+00,opname,56.4434847486979,119.205044753776 | 75855,38048,GROTE MARKT,44,,,A,Antwerpen,2000,woning 1,woning,2024/01/30 00:00:00+00,opname,56.4434847486979,119.205044753776 | 75856,38049,GROTE MARKT,44,,,A,Antwerpen,2000,woning 2,woning,2024/01/30 00:00:00+00,opname,56.4434847486979,119.205044753776 | 75857,38050,GROTE MARKT,44,,,A,Antwerpen,2000,woning 3,woning,2024/01/30 00:00:00+00,opname,56.4434847486979,119.205044753776"
"Grote Markt 6, 2000 Antwerpen",GROTE MARKT,6,,,A,Antwerpen,2000,1,1,75180,32378,volledig pand,gebouw,gebouw:1,opname,opname:1,2021/10/28 00:00:00+00,2021/10/28 00:00:00+00,2021/10/28 00:00:00+00,36.1348322112277,56.9455924079725,,"75180,32378,GROTE MARKT,6,,,A,Antwerpen,2000,volledig pand,gebouw,2021/10/28 00:00:00+00,opname,36.1348322112277,56.9455924079725"
"Grote Pieter Potstraat 14, 2000 Antwerpen",GROTE PIETER POTSTRAAT,14,,,A,Antwerpen,2000,1,1,75375,32726,gelijkvloers,gebouw,gebouw:1,opname,opname:1,2020/10/29 00:00:00+00,2020/10/29 00:00:00+00,2020/10/29 00:00:00+00,36.1550479095626,59.5127935413077,,"75375,32726,GROTE PIETER POTSTRAAT,14,,,A,Antwerpen,2000,gelijkvloers,gebouw,2020/10/29 00:00:00+00,opname,36.1550479095626,59.5127935413077"
"Hessenplein 37, 2000 Antwerpen",HESSENPLEIN,37,,,A,Antwerpen,2000,1,1,75802,39016,volledig pand,gebouw,gebouw:1,opname,opname:1,2024/05/03 00:00:00+00,2024/05/03 00:00:00+00,2024/05/03 00:00:00+00,66.3644599033407,227.929519869929,,"75802,39016,HESSENPLEIN,37,,,A,Antwerpen,2000,volledig pand,gebouw,2024/05/03 00:00:00+00,opname,66.3644599033407,227.929519869929"
