adres,pva_straat,pva_huisnr1,pva_huisnr2,pva_busnr,pnd_district_code,pnd_district,pva_postcode,samengevoegde_regels,unieke_pnd_ids_count,objectids,pnd_ids,reg_entiteiten,reg_aarden,reg_aard_telling,reg_statussen,reg_status_telling,eerste_opnamedatum,laatste_opnamedatum,alle_opnamedata,shape_lengths,shape_areas,verschillende_velden,bronregels_volledig
"Appelmansstraat 33, 2018 Antwerpen",APPELMANSSTRAAT,33,,,A,Antwerpen,2018,1,1,75613,32731,gelijkvloers/tussenverdieping,gebouw,gebouw:1,opname,opname:1,2022/09/06 00:00:00+00,2022/09/06 00:00:00+00,2022/09/06 00:00:00+00,394.564255300755,4637.73089095604,,"75613,32731,APPELMANSSTRAAT,33,,,A,Antwerpen,2018,gelijkvloers/tussenverdieping,gebouw,2022/09/06 00:00:00+00,opname,394.564255300755,4637.73089095604"
"Arthur Goemaerelei 67, 2018 Antwerpen",ARTHUR GOEMAERELEI,67,,,A,Antwerpen,2018,1,1,75737,39480,volledig pand,woning,woning:1,opname,opname:1,2025/07/15 00:00:00+00,2025/07/15 00:00:00+00,2025/07/15 00:00:00+00,67.1833891984468,191.695146609417,,"75737,39480,ARTHUR GOEMAERELEI,67,,,A,Antwerpen,2018,volledig pand,woning,2025/07/15 00:00:00+00,opname,67.1833891984468,191.695146609417"
"Balansstraat 73, 2018 Antwerpen",BALANSSTRAAT,73,,,A,Antwerpen,2018,2,2,74984 | 74985,39487 | 39490,gelijkvloers | 3de verdieping,woning,woning:2,opname,opname:2,2025/09/18 00:00:00+00,2025/09/18 00:00:00+00,2025/09/18 00:00:00+00,31.9909457142302,60.842110152594,OBJECTID | pnd_id | reg_entiteit,"74984,39487,BALANSSTRAAT,73,,,A,Antwerpen,2018,gelijkvloers,woning,2025/09/18 00:00:00+00,opname,31.9909457142302,60.842110152594 | 74985,39490,BALANSSTRAAT,73,,,A,Antwerpen,2018,3de verdieping,woning,2025/09/18 00:00:00+00,opname,31.9909457142302,60.842110152594"
"Ballaarstraat 25, 2018 Antwerpen",BALLAARSTRAAT,25,,,A,Antwerpen,2018,1,1,75512,36732,volledig pand,woning,woning:1,aanvraagschrapping,aanvraagschrapping:1,2023/08/23 00:00:00+00,2023/08/23 00:00:00+00,2023/08/23 00:00:00+00,111.178522791509,282.57659619752,,"75512,36732,BALLAARSTRAAT,25,,,A,Antwerpen,2018,volledig pand,woning,2023/08/23 00:00:00+00,aanvraagschrapping,111.178522791509,282.57659619752"
"Ballaarstraat 27, 2018 Antwerpen",BALLAARSTRAAT,27,,,A,Antwerpen,2018,1,1,75480,23889,nvt,woning,woning:1,opname,opname:1,2015/11/17 00:00:00+00,2015/11/17 00:00:00+00,2015/11/17 00:00:00+00,111.33245432584,277.398847333229,,"75480,23889,BALLAARSTRAAT,27,,,A,Antwerpen,2018,nvt,woning,2015/11/17 00:00:00+00,opname,111.33245432584,277.398847333229"
"Ballaarstraat 33, 2018 Antwerpen",BALLAARSTRAAT,33,,,A,Antwerpen,2018,2,2,75555 | 75558,32400 | 32401,gezinswoning | magazijn,woning | gebouw,woning:1 | gebouw:1,opname,opname:2,2020/08/10 00:00:00+00,2020/08/10 00:00:00+00,2020/08/10 00:00:00+00,87.1216593766518 | 149.712129160291,169.686696868238 | 417.059911877689,OBJECTID | pnd_id | reg_entiteit | reg_aard | SHAPE_Length | SHAPE_Area,"75555,32400,BALLAARSTRAAT,33,,,A,Antwerpen,2018,gezinswoning,woning,2020/08/10 00:00:00+00,opname,87.1216593766518,169.686696868238 | 75558,32401,BALLAARSTRAAT,33,,,A,Antwerpen,2018,magazijn,gebouw,2020/08/10 00:00:00+00,opname,149.712129160291,417.059911877689"
"Ballaarstraat 91 bus 6, 2018 Antwerpen",BALLAARSTRAAT,91,,6,A,Antwerpen,2018,1,1,75577,39515,2e verdieping M,woning,woning:1,aanvraagschrapping,aanvraagschrapping:1,2025/01/15 00:00:00+00,2025/01/15 00:00:00+00,2025/01/15 00:00:00+00,235.480465745035,1758.69177740917,,"75577,39515,BALLAARSTRAAT,91,,6,A,Antwerpen,2018,2e verdieping M,woning,2025/01/15 00:00:00+00,aanvraagschrapping,235.480465745035,1758.69177740917"
"Belegstraat 35, 2018 Antwerpen",BELEGSTRAAT,35,,,A,Antwerpen,2018,1,1,75832,38698,gelijkvloers,gebouw,gebouw:1,opname,opname:1,2024/04/26 00:00:00+00,2024/04/26 00:00:00+00,2024/04/26 00:00:00+00,34.2338023691915,60.4776655775802,,"75832,38698,BELEGSTRAAT,35,,,A,Antwerpen,2018,gelijkvloers,gebouw,2024/04/26 00:00:00+00,opname,34.2338023691915,60.4776655775802"
"Belgiëlei 136 bus 201, 2018 Antwerpen",BELGIËLEI,136,,201,A,Antwerpen,2018,1,1,75497,39882,Appartement 2de verdieping,woning,woning:1,opname,opname:1,2024/10/24 00:00:00+00,2024/10/24 00:00:00+00,2024/10/24 00:00:00+00,137.232986652278,581.175999676134,,"75497,39882,BELGIËLEI,136,,201,A,Antwerpen,2018,Appartement 2de verdieping,woning,2024/10/24 00:00:00+00,opname,137.232986652278,581.175999676134"
"Belgiëlei 59 bus 603, 2018 Antwerpen",BELGIËLEI,59,,603,A,Antwerpen,2018,1,1,75383,39572,A6/M,woning,woning:1,opname,opname:1,2025/02/25 00:00:00+00,2025/02/25 00:00:00+00,2025/02/25 00:00:00+00,96.0030859739522,378.753988779458,,"75383,39572,BELGIËLEI,59,,603,A,Antwerpen,2018,A6/M,woning,2025/02/25 00:00:00+00,opname,96.0030859739522,378.753988779458"
